Day of created_at,TrumpWords,Number of Records
13/3/2020,China,12
13/3/2020,care,10
13/3/2020,Americans,20
13/3/2020,American,15
13/3/2020,America,14
13/3/2020,administration,20
14/3/2020,world,7
14/3/2020,Virus,19
14/3/2020,time,15
14/3/2020,testing,14
14/3/2020,Stop,9
14/3/2020,States,2
14/3/2020,right,8
14/3/2020,response,8
14/3/2020,public,8
14/3/2020,press,9
14/3/2020,pandemic,18
14/3/2020,news,12
14/3/2020,MEDIA,5
14/3/2020,man,7
14/3/2020,lives,4
14/3/2020,Lies,13
14/3/2020,help,7
14/3/2020,health,14
14/3/2020,great,7
14/3/2020,good,8
14/3/2020,deaths,3
14/3/2020,day,6
14/3/2020,crisis,9
14/3/2020,country,10
14/3/2020,China,3
14/3/2020,care,8
14/3/2020,AMERICANS,10
14/3/2020,AMERICAN,4
14/3/2020,America,6
14/3/2020,administration,7
15/3/2020,world,12
15/3/2020,virus,16
15/3/2020,time,11
15/3/2020,testing,8
15/3/2020,Stop,10
15/3/2020,States,4
15/3/2020,right,5
15/3/2020,response,11
15/3/2020,public,4
15/3/2020,press,4
15/3/2020,pandemic,14
15/3/2020,NEWS,12
15/3/2020,Media,7
15/3/2020,man,3
15/3/2020,LIVES,8
15/3/2020,lies,13
15/3/2020,help,10
15/3/2020,Health,11
15/3/2020,great,6
15/3/2020,good,8
15/3/2020,deaths,1
15/3/2020,day,4
15/3/2020,CRISIS,5
15/3/2020,country,6
15/3/2020,China,5
15/3/2020,care,6
15/3/2020,Americans,20
15/3/2020,American,5
15/3/2020,America,11
15/3/2020,Administration,17
16/3/2020,world,5
16/3/2020,virus,22
16/3/2020,time,18
16/3/2020,testing,6
16/3/2020,stop,7
16/3/2020,states,3
16/3/2020,right,10
16/3/2020,response,10
16/3/2020,public,6
16/3/2020,press,8
16/3/2020,PANDEMIC,7
16/3/2020,news,7
16/3/2020,media,12
16/3/2020,Man,6
16/3/2020,lives,4
16/3/2020,lies,8
16/3/2020,help,9
16/3/2020,health,6
16/3/2020,great,3
16/3/2020,good,14
16/3/2020,deaths,1
16/3/2020,day,4
16/3/2020,crisis,15
16/3/2020,country,8
16/3/2020,China,3
16/3/2020,care,7
16/3/2020,Americans,6
16/3/2020,American,6
16/3/2020,America,15
16/3/2020,administration,14
17/3/2020,world,11
17/3/2020,Virus,37
17/3/2020,time,10
17/3/2020,testing,4
17/3/2020,STOP,10
17/3/2020,states,4
17/3/2020,right,13
17/3/2020,response,8
17/3/2020,public,7
17/3/2020,press,6
17/3/2020,pandemic,19
17/3/2020,news,9
17/3/2020,media,6
17/3/2020,man,2
17/3/2020,lives,4
17/3/2020,lies,7
17/3/2020,help,6
17/3/2020,health,2
17/3/2020,great,7
17/3/2020,good,10
17/3/2020,deaths,4
17/3/2020,day,5
17/3/2020,crisis,12
17/3/2020,country,12
17/3/2020,China,19
17/3/2020,care,6
17/3/2020,Americans,9
17/3/2020,American,4
17/3/2020,America,15
17/3/2020,administration,14
18/3/2020,world,5
18/3/2020,virus,25
18/3/2020,time,15
18/3/2020,testing,5
18/3/2020,stop,16
18/3/2020,right,8
18/3/2020,response,9
18/3/2020,public,4
18/3/2020,Press,6
18/3/2020,pandemic,22
18/3/2020,News,16
18/3/2020,media,3
18/3/2020,man,11
18/3/2020,lives,6
18/3/2020,lies,12
18/3/2020,help,3
18/3/2020,Health,5
18/3/2020,Great,12
18/3/2020,good,13
18/3/2020,deaths,2
18/3/2020,day,9
18/3/2020,crisis,15
18/3/2020,country,10
18/3/2020,China,13
18/3/2020,care,7
18/3/2020,Americans,9
18/3/2020,American,12
18/3/2020,America,9
18/3/2020,administration,4
19/3/2020,World,10
19/3/2020,virus,21
19/3/2020,time,5
19/3/2020,testing,9
19/3/2020,STOP,12
19/3/2020,States,2
19/3/2020,right,8
19/3/2020,response,7
19/3/2020,public,3
19/3/2020,press,4
19/3/2020,pandemic,4
19/3/2020,news,12
19/3/2020,media,5
19/3/2020,man,3
19/3/2020,lives,4
19/3/2020,lies,10
19/3/2020,help,2
19/3/2020,health,7
19/3/2020,great,2
19/3/2020,good,8
19/3/2020,deaths,6
19/3/2020,day,8
19/3/2020,crisis,13
19/3/2020,country,10
19/3/2020,China,35
19/3/2020,care,5
19/3/2020,AMERICANS,7
19/3/2020,American,7
19/3/2020,America,6
19/3/2020,administration,5
20/3/2020,world,4
20/3/2020,virus,19
20/3/2020,time,12
20/3/2020,stop,11
20/3/2020,states,5
20/3/2020,right,17
20/3/2020,response,15
20/3/2020,public,6
20/3/2020,press,12
20/3/2020,pandemic,12
20/3/2020,news,7
20/3/2020,Media,13
20/3/2020,man,4
20/3/2020,lives,3
20/3/2020,lies,6
20/3/2020,help,15
20/3/2020,health,6
20/3/2020,great,8
20/3/2020,good,15
20/3/2020,deaths,1
20/3/2020,day,6
20/3/2020,crisis,8
20/3/2020,country,6
20/3/2020,China,8
20/3/2020,care,5
20/3/2020,Americans,14
20/3/2020,American,8
20/3/2020,America,11
20/3/2020,administration,16
21/3/2020,world,9
21/3/2020,Virus,12
21/3/2020,time,14
21/3/2020,testing,2
21/3/2020,Stop,11
21/3/2020,STATES,7
21/3/2020,Right,6
21/3/2020,response,11
21/3/2020,public,5
21/3/2020,press,8
21/3/2020,pandemic,18
21/3/2020,News,6
21/3/2020,Media,4
21/3/2020,man,5
21/3/2020,lives,5
21/3/2020,lies,8
21/3/2020,help,12
21/3/2020,health,2
21/3/2020,great,9
21/3/2020,Good,12
21/3/2020,deaths,3
21/3/2020,day,6
21/3/2020,crisis,9
21/3/2020,country,11
21/3/2020,China,6
21/3/2020,care,3
21/3/2020,Americans,13
21/3/2020,American,12
21/3/2020,America,13
21/3/2020,Administration,3
22/3/2020,world,12
22/3/2020,virus,16
22/3/2020,time,17
22/3/2020,testing,2
22/3/2020,Stop,13
22/3/2020,States,11
22/3/2020,right,9
22/3/2020,response,8
22/3/2020,public,2
22/3/2020,press,13
22/3/2020,Pandemic,9
22/3/2020,news,7
22/3/2020,media,3
22/3/2020,man,5
22/3/2020,lives,1
22/3/2020,lies,4
22/3/2020,help,18
22/3/2020,Health,2
22/3/2020,Great,16
22/3/2020,Good,9
22/3/2020,deaths,2
22/3/2020,day,9
22/3/2020,crisis,12
22/3/2020,country,11
22/3/2020,CHINA,8
22/3/2020,care,4
22/3/2020,Americans,16
22/3/2020,American,6
22/3/2020,America,8
22/3/2020,administration,7
23/3/2020,world,15
23/3/2020,virus,6
23/3/2020,time,19
23/3/2020,testing,2
23/3/2020,stop,9
23/3/2020,states,9
23/3/2020,right,16
23/3/2020,response,11
23/3/2020,public,6
23/3/2020,press,9
23/3/2020,PANDEMIC,15
23/3/2020,news,3
23/3/2020,media,4
23/3/2020,man,6
23/3/2020,lives,9
23/3/2020,lies,7
23/3/2020,help,15
23/3/2020,health,6
23/3/2020,great,6
23/3/2020,good,8
23/3/2020,deaths,13
23/3/2020,day,8
23/3/2020,crisis,11
23/3/2020,country,11
23/3/2020,China,4
23/3/2020,care,9
23/3/2020,Americans,9
23/3/2020,American,16
23/3/2020,America,10
23/3/2020,administration,3
24/3/2020,world,14
24/3/2020,virus,9
24/3/2020,time,23
24/3/2020,testing,4
24/3/2020,stop,14
24/3/2020,states,11
24/3/2020,right,12
24/3/2020,response,8
24/3/2020,Public,4
24/3/2020,press,9
24/3/2020,pandemic,9
24/3/2020,news,6
24/3/2020,media,7
24/3/2020,man,14
24/3/2020,lives,8
24/3/2020,lies,7
24/3/2020,help,9
24/3/2020,health,11
24/3/2020,great,12
24/3/2020,good,16
24/3/2020,deaths,8
24/3/2020,day,17
24/3/2020,crisis,10
24/3/2020,country,17
24/3/2020,China,6
24/3/2020,care,10
24/3/2020,Americans,21
24/3/2020,American,17
24/3/2020,America,20
24/3/2020,administration,6
25/3/2020,world,15
25/3/2020,virus,12
25/3/2020,time,11
25/3/2020,testing,6
25/3/2020,stop,15
25/3/2020,states,6
25/3/2020,right,12
25/3/2020,Response,1
25/3/2020,public,4
25/3/2020,press,11
25/3/2020,pandemic,11
25/3/2020,News,11
25/3/2020,media,10
25/3/2020,man,9
25/3/2020,lives,4
25/3/2020,lies,6
25/3/2020,help,14
25/3/2020,Health,8
25/3/2020,great,6
25/3/2020,good,7
25/3/2020,deaths,10
25/3/2020,day,4
25/3/2020,crisis,8
25/3/2020,country,24
25/3/2020,China,5
25/3/2020,care,6
25/3/2020,Americans,7
25/3/2020,American,6
25/3/2020,America,10
25/3/2020,Administration,7
26/3/2020,world,8
26/3/2020,Virus,20
26/3/2020,time,15
26/3/2020,testing,5
26/3/2020,stop,8
26/3/2020,States,7
26/3/2020,right,9
26/3/2020,response,13
26/3/2020,press,8
26/3/2020,pandemic,14
26/3/2020,News,6
26/3/2020,media,7
26/3/2020,man,9
26/3/2020,lives,6
26/3/2020,lies,11
26/3/2020,help,6
26/3/2020,health,5
26/3/2020,great,5
26/3/2020,good,10
26/3/2020,deaths,6
26/3/2020,day,10
26/3/2020,CRISIS,7
26/3/2020,country,18
26/3/2020,China,17
26/3/2020,care,9
26/3/2020,Americans,20
26/3/2020,American,7
26/3/2020,America,8
26/3/2020,administration,1
27/3/2020,world,15
27/3/2020,virus,25
27/3/2020,time,19
27/3/2020,testing,12
27/3/2020,stop,10
27/3/2020,States,13
27/3/2020,right,13
27/3/2020,response,8
27/3/2020,public,6
27/3/2020,press,8
27/3/2020,pandemic,19
27/3/2020,news,6
27/3/2020,media,8
27/3/2020,man,17
27/3/2020,lives,7
27/3/2020,lies,6
27/3/2020,help,15
27/3/2020,health,9
27/3/2020,great,11
27/3/2020,Good,11
27/3/2020,deaths,5
27/3/2020,day,8
27/3/2020,crisis,11
27/3/2020,country,24
27/3/2020,China,13
27/3/2020,care,10
27/3/2020,Americans,13
27/3/2020,AMERICAN,8
27/3/2020,America,18
27/3/2020,Administration,7
28/3/2020,world,9
28/3/2020,Virus,11
28/3/2020,time,22
28/3/2020,stop,11
28/3/2020,states,13
28/3/2020,RIGHT,19
28/3/2020,response,5
28/3/2020,public,4
28/3/2020,press,5
28/3/2020,pandemic,13
28/3/2020,news,5
28/3/2020,media,9
28/3/2020,man,14
28/3/2020,lives,10
28/3/2020,lies,6
28/3/2020,help,19
28/3/2020,health,7
28/3/2020,Great,11
28/3/2020,good,8
28/3/2020,deaths,7
28/3/2020,day,9
28/3/2020,crisis,10
28/3/2020,country,17
28/3/2020,China,4
28/3/2020,care,8
28/3/2020,Americans,21
28/3/2020,American,9
28/3/2020,America,18
28/3/2020,Administration,5
29/3/2020,World,19
29/3/2020,virus,14
29/3/2020,time,13
29/3/2020,testing,5
29/3/2020,stop,8
29/3/2020,States,15
29/3/2020,right,22
29/3/2020,response,8
29/3/2020,public,6
29/3/2020,press,16
29/3/2020,Pandemic,14
29/3/2020,news,13
29/3/2020,media,18
29/3/2020,man,14
29/3/2020,lives,9
29/3/2020,lies,10
29/3/2020,help,14
29/3/2020,health,6
29/3/2020,Great,9
29/3/2020,good,8
29/3/2020,deaths,13
29/3/2020,DAY,12
29/3/2020,crisis,9
29/3/2020,country,19
29/3/2020,CHINA,41
29/3/2020,care,10
29/3/2020,Americans,21
29/3/2020,American,9
29/3/2020,America,17
29/3/2020,administration,13
30/3/2020,world,9
30/3/2020,virus,18
30/3/2020,time,17
30/3/2020,testing,2
30/3/2020,Stop,11
30/3/2020,states,7
30/3/2020,right,12
30/3/2020,response,3
30/3/2020,PUBLIC,2
30/3/2020,Press,8
30/3/2020,pandemic,8
30/3/2020,news,15
30/3/2020,media,10
30/3/2020,man,10
30/3/2020,lives,8
30/3/2020,lies,2
30/3/2020,help,12
30/3/2020,HEALTH,2
30/3/2020,GREAT,12
30/3/2020,good,11
30/3/2020,deaths,21
30/3/2020,day,14
30/3/2020,crisis,5
30/3/2020,country,13
30/3/2020,China,8
30/3/2020,care,2
30/3/2020,Americans,16
30/3/2020,American,8
30/3/2020,America,10
30/3/2020,administration,6
31/3/2020,virus,12
31/3/2020,time,16
31/3/2020,testing,14
31/3/2020,stop,10
31/3/2020,States,13
31/3/2020,right,11
31/3/2020,response,10
31/3/2020,public,3
31/3/2020,press,10
31/3/2020,pandemic,14
31/3/2020,news,12
31/3/2020,media,9
31/3/2020,man,5
31/3/2020,lives,8
31/3/2020,lies,6
31/3/2020,help,7
31/3/2020,health,11
31/3/2020,Great,7
31/3/2020,good,11
31/3/2020,deaths,6
31/3/2020,day,5
31/3/2020,crisis,7
31/3/2020,country,12
31/3/2020,China,10
31/3/2020,care,4
31/3/2020,AMERICANS,19
31/3/2020,AMERICAN,9
31/3/2020,America,15
31/3/2020,administration,9
1/4/2020,world,8
1/4/2020,virus,15
1/4/2020,time,21
1/4/2020,testing,5
1/4/2020,STOP,5
1/4/2020,States,11
1/4/2020,right,10
1/4/2020,response,5
1/4/2020,public,2
1/4/2020,PRESS,8
1/4/2020,pandemic,17
1/4/2020,News,10
1/4/2020,media,6
1/4/2020,Man,5
1/4/2020,lives,15
1/4/2020,LIES,11
1/4/2020,help,3
1/4/2020,health,9
1/4/2020,great,9
1/4/2020,good,9
1/4/2020,deaths,23
1/4/2020,day,15
1/4/2020,Crisis,6
1/4/2020,country,8
1/4/2020,China,16
1/4/2020,CARE,8
1/4/2020,Americans,16
1/4/2020,American,5
1/4/2020,America,10
1/4/2020,administration,6
2/4/2020,world,7
2/4/2020,virus,10
2/4/2020,time,25
2/4/2020,testing,5
2/4/2020,stop,6
2/4/2020,states,9
2/4/2020,right,12
2/4/2020,response,6
2/4/2020,Public,1
2/4/2020,Press,3
2/4/2020,pandemic,12
2/4/2020,News,4
2/4/2020,media,6
2/4/2020,Man,7
2/4/2020,lives,10
2/4/2020,Lies,6
2/4/2020,help,8
2/4/2020,health,5
2/4/2020,great,7
2/4/2020,Good,10
2/4/2020,deaths,6
2/4/2020,day,10
2/4/2020,crisis,10
2/4/2020,Country,15
2/4/2020,China,7
2/4/2020,care,5
2/4/2020,Americans,12
2/4/2020,American,5
2/4/2020,America,9
2/4/2020,administration,8
3/4/2020,world,2
3/4/2020,Virus,10
3/4/2020,time,15
3/4/2020,Testing,2
3/4/2020,Stop,8
3/4/2020,states,13
3/4/2020,right,13
3/4/2020,response,15
3/4/2020,public,5
3/4/2020,Press,7
3/4/2020,pandemic,10
3/4/2020,news,5
3/4/2020,Media,6
3/4/2020,man,1
3/4/2020,lives,8
3/4/2020,lies,8
3/4/2020,help,8
3/4/2020,health,9
3/4/2020,great,10
3/4/2020,Good,9
3/4/2020,deaths,7
3/4/2020,Day,9
3/4/2020,crisis,18
3/4/2020,Country,10
3/4/2020,China,11
3/4/2020,care,17
3/4/2020,Americans,10
3/4/2020,American,15
3/4/2020,America,9
3/4/2020,administration,15
4/4/2020,world,10
4/4/2020,virus,17
4/4/2020,time,28
4/4/2020,testing,3
4/4/2020,stop,14
4/4/2020,states,19
4/4/2020,right,14
4/4/2020,response,9
4/4/2020,public,8
4/4/2020,press,5
4/4/2020,pandemic,15
4/4/2020,news,13
4/4/2020,media,14
4/4/2020,man,10
4/4/2020,lives,7
4/4/2020,lies,15
4/4/2020,help,11
4/4/2020,health,3
4/4/2020,great,6
4/4/2020,GOOD,8
4/4/2020,deaths,10
4/4/2020,day,5
4/4/2020,crisis,4
4/4/2020,country,21
4/4/2020,China,9
4/4/2020,care,7
4/4/2020,Americans,21
4/4/2020,American,10
4/4/2020,America,19
4/4/2020,administration,17
5/4/2020,world,8
5/4/2020,virus,11
5/4/2020,time,12
5/4/2020,testing,5
5/4/2020,Stop,11
5/4/2020,States,17
5/4/2020,right,11
5/4/2020,response,8
5/4/2020,public,2
5/4/2020,press,3
5/4/2020,pandemic,14
5/4/2020,NEWS,8
5/4/2020,Media,4
5/4/2020,man,10
5/4/2020,lives,10
5/4/2020,lies,1
5/4/2020,help,8
5/4/2020,health,2
5/4/2020,great,4
5/4/2020,good,8
5/4/2020,deaths,8
5/4/2020,day,6
5/4/2020,crisis,9
5/4/2020,country,12
5/4/2020,China,4
5/4/2020,care,2
5/4/2020,Americans,15
5/4/2020,American,8
5/4/2020,America,19
5/4/2020,Administration,7
6/4/2020,world,3
6/4/2020,virus,16
6/4/2020,time,18
6/4/2020,testing,15
6/4/2020,stop,12
6/4/2020,states,8
6/4/2020,Right,12
6/4/2020,response,5
6/4/2020,public,3
6/4/2020,press,5
6/4/2020,pandemic,13
6/4/2020,news,6
6/4/2020,Media,9
6/4/2020,man,11
6/4/2020,lives,3
6/4/2020,Lies,4
6/4/2020,help,4
6/4/2020,health,7
6/4/2020,great,3
6/4/2020,good,9
6/4/2020,deaths,6
6/4/2020,day,7
6/4/2020,crisis,10
6/4/2020,COUNTRY,12
6/4/2020,China,11
6/4/2020,care,5
6/4/2020,Americans,13
6/4/2020,American,10
6/4/2020,America,7
6/4/2020,administration,11
7/4/2020,World,20
7/4/2020,virus,16
7/4/2020,time,24
7/4/2020,Testing,5
7/4/2020,stop,6
7/4/2020,states,8
7/4/2020,Right,11
7/4/2020,response,13
7/4/2020,public,4
7/4/2020,Press,11
7/4/2020,pandemic,26
7/4/2020,News,4
7/4/2020,media,8
7/4/2020,man,5
7/4/2020,lives,6
7/4/2020,lies,5
7/4/2020,help,10
7/4/2020,Health,16
7/4/2020,great,11
7/4/2020,good,12
7/4/2020,deaths,7
7/4/2020,day,3
7/4/2020,crisis,10
7/4/2020,country,8
7/4/2020,China,11
7/4/2020,care,5
7/4/2020,Americans,11
7/4/2020,American,10
7/4/2020,America,10
7/4/2020,Administration,14
8/4/2020,world,19
8/4/2020,virus,11
8/4/2020,time,21
8/4/2020,Testing,9
8/4/2020,Stop,17
8/4/2020,states,9
8/4/2020,right,15
8/4/2020,response,12
8/4/2020,public,4
8/4/2020,press,8
8/4/2020,Pandemic,13
8/4/2020,News,5
8/4/2020,media,8
8/4/2020,man,4
8/4/2020,lives,8
8/4/2020,lies,13
8/4/2020,help,11
8/4/2020,health,11
8/4/2020,Great,7
8/4/2020,good,7
8/4/2020,deaths,6
8/4/2020,day,9
8/4/2020,crisis,11
8/4/2020,country,8
8/4/2020,China,16
8/4/2020,care,10
8/4/2020,Americans,9
8/4/2020,American,6
8/4/2020,America,10
8/4/2020,administration,4
9/4/2020,world,15
9/4/2020,virus,11
9/4/2020,time,7
9/4/2020,testing,19
9/4/2020,stop,5
9/4/2020,states,7
9/4/2020,Right,7
9/4/2020,response,7
9/4/2020,public,1
9/4/2020,press,5
9/4/2020,pandemic,7
9/4/2020,NEWS,3
9/4/2020,media,7
9/4/2020,man,2
9/4/2020,lives,5
9/4/2020,lies,14
9/4/2020,help,6
9/4/2020,health,5
9/4/2020,great,5
9/4/2020,good,4
9/4/2020,deaths,9
9/4/2020,day,5
9/4/2020,crisis,5
9/4/2020,country,5
9/4/2020,China,10
9/4/2020,care,10
9/4/2020,Americans,9
9/4/2020,American,2
9/4/2020,America,8
9/4/2020,administration,5
10/4/2020,World,6
10/4/2020,virus,18
10/4/2020,time,11
10/4/2020,Testing,10
10/4/2020,stop,11
10/4/2020,states,3
10/4/2020,right,6
10/4/2020,response,6
10/4/2020,Press,6
10/4/2020,pandemic,13
10/4/2020,NEWS,11
10/4/2020,media,4
10/4/2020,man,8
10/4/2020,lives,12
10/4/2020,lies,13
10/4/2020,Help,6
10/4/2020,health,2
10/4/2020,great,9
10/4/2020,Good,9
10/4/2020,deaths,9
10/4/2020,Day,5
10/4/2020,crisis,3
10/4/2020,country,11
10/4/2020,China,14
10/4/2020,care,6
10/4/2020,Americans,17
10/4/2020,American,9
10/4/2020,America,16
10/4/2020,administration,7
11/4/2020,world,9
11/4/2020,virus,8
11/4/2020,Time,12
11/4/2020,testing,1
11/4/2020,Stop,2
11/4/2020,STATES,7
11/4/2020,right,4
11/4/2020,response,5
11/4/2020,public,2
11/4/2020,press,3
11/4/2020,pandemic,10
11/4/2020,news,2
11/4/2020,media,2
11/4/2020,man,6
11/4/2020,lives,6
11/4/2020,lies,3
11/4/2020,help,8
11/4/2020,health,2
11/4/2020,Great,5
11/4/2020,good,4
11/4/2020,deaths,5
11/4/2020,day,6
11/4/2020,crisis,3
11/4/2020,country,7
11/4/2020,China,3
11/4/2020,care,3
11/4/2020,Americans,8
11/4/2020,American,5
11/4/2020,America,2
11/4/2020,administration,5
12/4/2020,world,5
12/4/2020,virus,5
12/4/2020,time,6
12/4/2020,testing,6
12/4/2020,stop,3
12/4/2020,states,8
12/4/2020,right,4
12/4/2020,response,11
12/4/2020,public,5
12/4/2020,Press,4
12/4/2020,pandemic,11
12/4/2020,NEWS,5
12/4/2020,media,1
12/4/2020,man,5
12/4/2020,lives,4
12/4/2020,lies,4
12/4/2020,help,5
12/4/2020,health,6
12/4/2020,great,6
12/4/2020,Good,10
12/4/2020,deaths,17
12/4/2020,day,5
12/4/2020,crisis,3
12/4/2020,country,13
12/4/2020,China,7
12/4/2020,care,8
12/4/2020,Americans,8
12/4/2020,American,5
12/4/2020,America,3
12/4/2020,administration,11
13/4/2020,world,11
13/4/2020,virus,7
13/4/2020,time,17
13/4/2020,testing,9
13/4/2020,stop,9
13/4/2020,states,18
13/4/2020,right,11
13/4/2020,response,13
13/4/2020,public,11
13/4/2020,press,12
13/4/2020,pandemic,13
